user_id,survey_id,survey_item_index,filename,has_reply,emotion_1,video_id,mix,emotion_1_id,emotion_2_id,intensity_level,reply_dim_Novelty,reply_dim_Pleasantness,reply_dim_Goal conduciveness,reply_dim_Urgency,reply_dim_Power,reply_dim_Norm compatibility
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,0,A200_int_v_3.mp4,1,interest_curiosity,A200,0,29,100,3,1,4,4,1,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,1,A102_exc_v_3.mp4,1,excitement_expectation,A102,0,36,100,3,1,5,5,1,3,5
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,2,A102_fea_p_2.mp4,1,fear,A102,0,10,100,2,3,1,1,2,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,3,A102_amu_v_3.mp4,1,amusement,A102,0,13,100,3,2,4,4,2,3,4
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,4,A207_pea_v_2.mp4,1,peacefulness_serenity,A207,0,25,100,2,1,2,2,2,2,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,5,A102_dist_p_3.mp4,1,distress_pain,A102,0,17,100,3,4,1,1,3,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,6,A102_ten_v_3.mp4,1,tenderness,A102,0,28,100,3,1,3,3,2,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,7,A205_hap_v_3.mp4,1,happiness_joy,A205,0,33,100,3,2,4,3,2,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,8,A102_exc_p_3.mp4,1,excitement_expectation,A102,0,36,100,3,1,3,2,2,2,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,9,A102_mov_v_3.mp4,1,being_moved,A102,0,42,100,3,2,2,2,2,2,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,10,A102_sex_p_2.mp4,1,sexual_lust,A102,0,24,100,2,2,3,4,1,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,11,A200_int_v_2.mp4,1,interest_curiosity,A200,0,29,100,2,2,2,2,1,1,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,12,A102_scha_p_3.mp4,1,schadenfreude,A102,0,15,100,3,1,3,3,2,2,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,13,A102_pos_sur_p_3.mp4,1,positive_surprise,A102,0,9,100,3,4,4,3,1,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,14,A102_disg_p_3.mp4,1,disgust,A102,0,35,100,3,2,2,2,2,1,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,15,A323_awe_v_2.mp4,1,awe,A323,0,18,100,2,3,2,1,3,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,16,A102_rel_p_3.mp4,1,relief,A102,0,38,100,3,2,3,3,1,2,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,17,A205_rej_v_3.mp4,1,rejection,A205,0,14,100,3,2,2,1,3,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,18,A102_emb_v_3.mp4,1,embarrassment,A102,0,39,100,3,2,2,1,3,3,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,19,A102_sad_p_2.mp4,1,sadness,A102,0,6,100,2,2,1,1,3,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,20,A102_anx_p_3.mp4,1,anxiety,A102,0,34,100,3,3,2,1,3,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,21,A102_nos_p_3.mp4,1,nostalgia,A102,0,30,100,3,2,4,4,1,3,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,22,A220_ins_v_2.mp4,1,inspiration,A220,0,19,100,2,1,2,2,2,2,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,23,A303_env_p_3.mp4,1,envy,A303,0,4,100,3,3,1,1,2,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,24,A205_cont_p_3.mp4,1,contempt,A205,0,32,100,3,3,2,1,2,2,1
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,25,A102_rel_p_2.mp4,1,relief,A102,0,38,100,2,1,3,2,1,2,2
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,26,A102_pea_p_2.mp4,1,peacefulness_serenity,A102,0,25,100,2,1,3,3,1,2,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,27,A102_nos_p_2.mp4,1,nostalgia,A102,0,30,100,2,1,3,3,1,2,3
default,1d1439eb990b9fbdc99bf899dc7a7f9cb61a9a404e5677631723cd56788b2d4a,28,A102_bor_p_3.mp4,1,boredom,A102,0,26,100,3,2,2,1,2,2,1
