user_id,survey_id,survey_item_index,filename,has_reply,emotion_1,emotion_2,video_id,mix,emotion_1_id,emotion_2_id,intensity_level,reply_dim_anger,reply_dim_happiness_joy,reply_dim_sadness,reply_dim_disgust,reply_dim_fear
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,0,A67_mix_fea_hap_5050.mp4,1,fear,happiness_joy,A67,1,10,33,,0,0,0,2,6
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,1,A91_mix_hap_sad_5050.mp4,1,happiness_joy,sadness,A91,1,33,6,,0,0,2,0,5
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,2,A72_mix_disg_fea_5050.mp4,1,disgust,fear,A72,1,35,10,,0,0,0,6,2
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,3,A221_mix_fea_hap_5050.mp4,1,fear,happiness_joy,A221,1,10,33,,0,3,0,0,4
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,4,A102_mix_disg_fea_5050.mp4,1,disgust,fear,A102,1,35,10,,0,0,0,4,6
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,5,A323_mix_fea_sad_5050.mp4,1,fear,sadness,A323,1,10,6,,0,0,1,0,5
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,6,A207_mix_fea_hap_5050.mp4,1,fear,happiness_joy,A207,1,10,33,,0,1,0,0,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,7,A227_mix_hap_sad_5050.mp4,1,happiness_joy,sadness,A227,1,33,6,,0,3,3,0,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,8,A303_mix_fea_sad_5050.mp4,1,fear,sadness,A303,1,10,6,,0,0,5,0,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,9,A334_mix_ang_disg_5050.mp4,1,anger,disgust,A334,1,12,35,,7,0,0,2,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,10,A327_mix_ang_sad_5050.mp4,1,anger,sadness,A327,1,12,6,,6,0,4,0,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,11,A332_mix_disg_hap_5050.mp4,1,disgust,happiness_joy,A332,1,35,33,,0,4,0,0,1
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,12,A337_mix_ang_disg_5050.mp4,1,anger,disgust,A337,1,12,35,,6,0,0,1,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,13,A220_mix_ang_fea_5050.mp4,1,anger,fear,A220,1,12,10,,6,0,0,0,1
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,14,A55_mix_ang_hap_5050.mp4,1,anger,happiness_joy,A55,1,12,33,,1,0,4,0,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,15,A64_mix_ang_fea_5050.mp4,1,anger,fear,A64,1,12,10,,4,0,0,0,4
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,16,A207_mix_disg_fea_5050.mp4,1,disgust,fear,A207,1,35,10,,0,0,2,0,4
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,17,A91_mix_disg_sad_5050.mp4,1,disgust,sadness,A91,1,35,6,,0,0,0,5,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,18,A200_mix_ang_disg_5050.mp4,1,anger,disgust,A200,1,12,35,,1,0,0,6,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,19,A327_mix_disg_sad_5050.mp4,1,disgust,sadness,A327,1,35,6,,0,0,6,2,0
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,20,A220_mix_fea_sad_5050.mp4,1,fear,sadness,A220,1,10,6,,0,0,3,0,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,21,A55_mix_ang_fea_5050.mp4,1,anger,fear,A55,1,12,10,,6,0,0,0,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,22,A327_mix_fea_sad_5050.mp4,1,fear,sadness,A327,1,10,6,,0,0,4,0,4
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,23,A332_mix_disg_fea_5050.mp4,1,disgust,fear,A332,1,35,10,,0,0,0,4,4
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,24,A102_mix_disg_sad_5050.mp4,1,disgust,sadness,A102,1,35,6,,0,0,0,3,3
Emotest5153,00e7a976f7fc6873abc4770d3fb84f176dddb9020ebfd32c73a50dafeecbf740,25,A303_mix_disg_hap_5050.mp4,1,disgust,happiness_joy,A303,1,35,33,,0,2,0,3,0
